🏆 INSTITUTIONAL BACKTEST REPORT [V1.56 - Project Tahamtan (Fixed Core V1.54)] 🏆
Total Trades: 62
Wins: 42 | Losses: 20
Win Rate: 67.74%
Net Units (R): +43.00 R

📅 MONTHLY BREAKDOWN:
- 2026-05 | Trades: 33 | Wins: 23 | Losses: 10 | WR: 69.70% | Net Units: +24.50 R
- 2026-06 | Trades: 28 | Wins: 18 | Losses: 10 | WR: 64.29% | Net Units: +17.00 R
- 2026-07 | Trades: 1 | Wins: 1 | Losses: 0 | WR: 100.00% | Net Units: +1.50 R

📝 DETAILED TRADE JOURNAL:
05-11 Mon Hr:12 | LNG | W | VW:15.2 | Vx:1.1 | PB:5.1 | Prc:4.4 | RN:11.4 | ADX:19 | EG:8.3 | hRSI:51 | ATR:4.7 | B:50 | SL:12.7 | SVR:3.4 | MAE:7.4 | MFE:20.6 | AH:12.5 | AL:-32.2 | LWk:6% | UWk:3% | LO:61.7 | NYO:61.7 | Sq:2 | ATRr:1.09 | HTFd:15.6 | DH:3.2 | DL:64.6 | PRv:0 | TG:1.4
05-15 Fri Hr:14 | SHT | W | VW:-12.6 | Vx:0.8 | PB:3.3 | Prc:2.3 | RN:2.4 | ADX:19 | EG:82.7 | hRSI:47 | ATR:5.5 | B:9 | SL:7.9 | SVR:4.3 | MAE:6.0 | MFE:12.6 | AH:-28.5 | AL:-12.6 | LWk:6% | UWk:31% | LO:-54.1 | NYO:-54.1 | Sq:2 | ATRr:1.14 | HTFd:87.3 | DH:56.1 | DL:19.7 | PRv:1 | TG:2.2
05-19 Tue Hr:08 | SHT | L | VW:-15.7 | Vx:1.5 | PB:3.6 | Prc:3.0 | RN:2.7 | ADX:19 | EG:5.4 | hRSI:43 | ATR:4.1 | B:39 | SL:9.9 | SVR:4.2 | MAE:10.6 | MFE:10.2 | AH:-19.9 | AL:-0.3 | LWk:19% | UWk:5% | LO:-34.9 | NYO:-34.9 | Sq:2 | ATRr:1.16 | HTFd:0.5 | DH:39.8 | DL:7.3 | PRv:1 | TG:2.4
05-19 Tue Hr:11 | LNG | L | VW:0.3 | Vx:0.8 | PB:3.2 | Prc:1.0 | RN:9.2 | ADX:22 | EG:5.4 | hRSI:51 | ATR:4.4 | B:36 | SL:7.8 | SVR:4.3 | MAE:12.6 | MFE:10.4 | AH:-8.0 | AL:-12.2 | LWk:10% | UWk:6% | LO:-23.0 | NYO:-23.0 | Sq:1 | ATRr:1.16 | HTFd:11.1 | DH:27.9 | DL:22.1 | PRv:-1 | TG:2.8
05-19 Tue Hr:14 | SHT | L | VW:-12.7 | Vx:1.1 | PB:2.2 | Prc:3.4 | RN:5.4 | ADX:21 | EG:2.8 | hRSI:49 | ATR:5.0 | B:61 | SL:11.3 | SVR:4.0 | MAE:12.9 | MFE:16.1 | AH:-22.6 | AL:2.4 | LWk:1% | UWk:9% | LO:-37.6 | NYO:-37.6 | Sq:2 | ATRr:1.16 | HTFd:4.1 | DH:42.5 | DL:8.6 | PRv:-1 | TG:4.1
05-20 Wed Hr:07 | SHT | W | VW:-3.1 | Vx:1.7 | PB:2.1 | Prc:4.2 | RN:10.6 | ADX:13 | EG:4.7 | hRSI:53 | ATR:4.3 | B:15 | SL:8.1 | SVR:3.8 | MAE:4.9 | MFE:14.4 | AH:-17.1 | AL:-13.4 | LWk:17% | UWk:17% | LO:-4.9 | NYO:-4.9 | Sq:1 | ATRr:1.11 | HTFd:7.5 | DH:17.1 | DL:13.4 | PRv:-1 | TG:0.2
05-20 Wed Hr:08 | SHT | L | VW:-8.1 | Vx:0.9 | PB:3.3 | Prc:1.3 | RN:16.6 | ADX:15 | EG:8.5 | hRSI:48 | ATR:4.0 | B:5 | SL:6.8 | SVR:3.5 | MAE:9.2 | MFE:1.9 | AH:-23.1 | AL:-7.4 | LWk:2% | UWk:56% | LO:-10.9 | NYO:-10.9 | Sq:3 | ATRr:0.92 | HTFd:13.0 | DH:23.1 | DL:8.4 | PRv:1 | TG:3.4
05-20 Wed Hr:09 | SHT | L | VW:-5.8 | Vx:0.9 | PB:3.5 | Prc:4.2 | RN:14.4 | ADX:13 | EG:8.4 | hRSI:50 | ATR:3.7 | B:20 | SL:7.4 | SVR:3.6 | MAE:7.5 | MFE:5.3 | AH:-20.9 | AL:-9.6 | LWk:3% | UWk:3% | LO:-8.7 | NYO:-8.7 | Sq:1 | ATRr:0.90 | HTFd:10.6 | DH:20.9 | DL:10.6 | PRv:-1 | TG:0.3
05-21 Thu Hr:07 | LNG | L | VW:5.3 | Vx:1.5 | PB:3.4 | Prc:2.4 | RN:12.0 | ADX:14 | EG:17.1 | hRSI:53 | ATR:3.1 | B:5 | SL:9.4 | SVR:3.3 | MAE:14.7 | MFE:1.2 | AH:-1.8 | AL:-12.4 | LWk:11% | UWk:21% | LO:4.9 | NYO:4.9 | Sq:3 | ATRr:1.41 | HTFd:23.0 | DH:7.2 | DL:19.1 | PRv:-1 | TG:1.5
05-21 Thu Hr:07 | LNG | W | VW:0.6 | Vx:0.8 | PB:2.1 | Prc:5.0 | RN:18.6 | ADX:24 | EG:13.6 | hRSI:43 | ATR:4.0 | B:6 | SL:8.5 | SVR:7.4 | MAE:4.2 | MFE:16.3 | AH:-8.4 | AL:-5.8 | LWk:0% | UWk:24% | LO:-1.7 | NYO:-1.7 | Sq:4 | ATRr:1.38 | HTFd:16.1 | DH:13.8 | DL:16.1 | PRv:-1 | TG:3.3
05-21 Thu Hr:09 | LNG | L | VW:6.3 | Vx:0.8 | PB:4.6 | Prc:1.5 | RN:11.1 | ADX:27 | EG:17.6 | hRSI:52 | ATR:5.5 | B:27 | SL:7.5 | SVR:3.9 | MAE:14.7 | MFE:7.5 | AH:-0.9 | AL:-13.3 | LWk:20% | UWk:28% | LO:5.8 | NYO:5.8 | Sq:2 | ATRr:1.26 | HTFd:22.5 | DH:15.9 | DL:23.6 | PRv:1 | TG:2.7
05-21 Thu Hr:15 | SHT | L | VW:-19.5 | Vx:1.2 | PB:5.7 | Prc:3.2 | RN:6.3 | ADX:16 | EG:7.5 | hRSI:46 | ATR:5.7 | B:43 | SL:7.7 | SVR:2.4 | MAE:13.9 | MFE:10.7 | AH:-33.5 | AL:19.3 | LWk:0% | UWk:17% | LO:-26.8 | NYO:-26.8 | Sq:1 | ATRr:1.04 | HTFd:11.0 | DH:48.5 | DL:15.9 | PRv:-1 | TG:2.7
05-22 Fri Hr:07 | LNG | W | VW:-0.9 | Vx:0.9 | PB:2.1 | Prc:6.4 | RN:24.8 | ADX:29 | EG:1.8 | hRSI:33 | ATR:3.3 | B:112 | SL:8.9 | SVR:3.7 | MAE:8.6 | MFE:15.0 | AH:-7.1 | AL:-8.3 | LWk:6% | UWk:3% | LO:-5.6 | NYO:-5.6 | Sq:3 | ATRr:1.44 | HTFd:3.2 | DH:8.8 | DL:12.0 | PRv:-1 | TG:3.1
05-22 Fri Hr:15 | LNG | W | VW:9.1 | Vx:0.9 | PB:5.4 | Prc:1.8 | RN:12.6 | ADX:16 | EG:7.1 | hRSI:54 | ATR:5.6 | B:49 | SL:9.4 | SVR:3.9 | MAE:7.2 | MFE:16.1 | AH:5.1 | AL:-20.5 | LWk:29% | UWk:6% | LO:6.6 | NYO:6.6 | Sq:1 | ATRr:1.16 | HTFd:13.8 | DH:25.7 | DL:24.2 | PRv:1 | TG:1.3
05-25 Mon Hr:07 | LNG | W | VW:4.0 | Vx:1.1 | PB:1.5 | Prc:2.9 | RN:15.5 | ADX:20 | EG:35.0 | hRSI:48 | ATR:2.8 | B:71 | SL:8.0 | SVR:5.4 | MAE:6.0 | MFE:12.2 | AH:-4.2 | AL:-10.2 | LWk:5% | UWk:2% | LO:25.8 | NYO:25.8 | Sq:1 | ATRr:1.25 | HTFd:39.1 | DH:5.6 | DL:39.0 | PRv:1 | TG:1.1
05-26 Tue Hr:11 | SHT | W | VW:-8.1 | Vx:1.3 | PB:3.9 | Prc:1.1 | RN:24.1 | ADX:21 | EG:5.8 | hRSI:50 | ATR:3.1 | B:44 | SL:9.2 | SVR:5.2 | MAE:4.2 | MFE:17.5 | AH:-14.6 | AL:-0.5 | LWk:7% | UWk:9% | LO:-29.3 | NYO:-29.3 | Sq:1 | ATRr:1.08 | HTFd:1.4 | DH:31.2 | DL:9.4 | PRv:1 | TG:1.4
05-27 Wed Hr:07 | SHT | W | VW:-2.0 | Vx:0.7 | PB:1.4 | Prc:2.3 | RN:0.1 | ADX:23 | EG:10.7 | hRSI:50 | ATR:2.5 | B:16 | SL:5.5 | SVR:5.4 | MAE:1.7 | MFE:8.9 | AH:-6.7 | AL:-5.8 | LWk:26% | UWk:4% | LO:3.9 | NYO:3.9 | Sq:1 | ATRr:1.37 | HTFd:12.4 | DH:8.7 | DL:12.8 | PRv:1 | TG:0.1
05-27 Wed Hr:08 | SHT | W | VW:-7.1 | Vx:1.1 | PB:3.8 | Prc:3.2 | RN:5.9 | ADX:17 | EG:13.0 | hRSI:46 | ATR:3.2 | B:72 | SL:8.8 | SVR:2.5 | MAE:8.0 | MFE:13.8 | AH:-12.7 | AL:0.2 | LWk:5% | UWk:6% | LO:-2.1 | NYO:-2.1 | Sq:1 | ATRr:1.38 | HTFd:17.6 | DH:14.7 | DL:6.8 | PRv:1 | TG:2.4
05-27 Wed Hr:12 | SHT | L | VW:-8.0 | Vx:0.9 | PB:3.2 | Prc:5.7 | RN:10.3 | ADX:29 | EG:16.1 | hRSI:54 | ATR:4.3 | B:25 | SL:9.6 | SVR:6.9 | MAE:12.4 | MFE:1.1 | AH:-17.1 | AL:4.6 | LWk:15% | UWk:4% | LO:-6.5 | NYO:-6.5 | Sq:2 | ATRr:1.41 | HTFd:18.9 | DH:19.1 | DL:9.4 | PRv:1 | TG:3.0
05-28 Thu Hr:08 | SHT | L | VW:-1.5 | Vx:0.8 | PB:3.5 | Prc:2.7 | RN:2.2 | ADX:17 | EG:33.5 | hRSI:51 | ATR:3.3 | B:9 | SL:5.9 | SVR:2.5 | MAE:6.0 | MFE:2.9 | AH:-10.0 | AL:-30.4 | LWk:8% | UWk:15% | LO:-28.5 | NYO:-28.5 | Sq:1 | ATRr:1.10 | HTFd:35.7 | DH:32.7 | DL:30.4 | PRv:-1 | TG:1.0
05-28 Thu Hr:09 | SHT | W | VW:0.1 | Vx:0.5 | PB:1.9 | Prc:3.3 | RN:0.3 | ADX:16 | EG:30.4 | hRSI:54 | ATR:2.9 | B:10 | SL:6.1 | SVR:4.4 | MAE:3.1 | MFE:9.9 | AH:-8.1 | AL:-32.3 | LWk:3% | UWk:29% | LO:-26.6 | NYO:-26.6 | Sq:1 | ATRr:0.93 | HTFd:32.2 | DH:30.8 | DL:32.3 | PRv:-1 | TG:1.6
05-29 Fri Hr:07 | SHT | W | VW:-7.7 | Vx:0.8 | PB:3.5 | Prc:1.7 | RN:17.6 | ADX:23 | EG:4.4 | hRSI:54 | ATR:3.3 | B:8 | SL:8.5 | SVR:3.3 | MAE:4.6 | MFE:13.1 | AH:-12.1 | AL:-0.5 | LWk:16% | UWk:22% | LO:-11.2 | NYO:-11.2 | Sq:3 | ATRr:1.69 | HTFd:1.5 | DH:18.0 | DL:2.2 | PRv:1 | TG:1.4
05-29 Fri Hr:14 | LNG | W | VW:12.6 | Vx:1.3 | PB:6.4 | Prc:5.1 | RN:6.2 | ADX:22 | EG:3.6 | hRSI:62 | ATR:4.8 | B:2 | SL:14.5 | SVR:2.6 | MAE:6.0 | MFE:22.6 | AH:-0.7 | AL:-11.9 | LWk:25% | UWk:21% | LO:0.2 | NYO:0.2 | Sq:3 | ATRr:1.40 | HTFd:12.1 | DH:6.6 | DL:35.5 | PRv:1 | TG:3.8
06-01 Mon Hr:10 | LNG | L | VW:5.7 | Vx:1.1 | PB:2.6 | Prc:4.0 | RN:14.7 | ADX:31 | EG:15.3 | hRSI:46 | ATR:2.8 | B:46 | SL:7.5 | SVR:2.6 | MAE:8.1 | MFE:4.0 | AH:-11.4 | AL:-15.3 | LWk:6% | UWk:0% | LO:15.5 | NYO:15.5 | Sq:3 | ATRr:0.95 | HTFd:17.8 | DH:11.4 | DL:19.4 | PRv:1 | TG:1.6
06-02 Tue Hr:09 | LNG | L | VW:5.3 | Vx:1.0 | PB:2.0 | Prc:1.2 | RN:20.3 | ADX:17 | EG:13.6 | hRSI:52 | ATR:2.5 | B:81 | SL:5.5 | SVR:3.4 | MAE:8.0 | MFE:7.3 | AH:-11.3 | AL:-13.2 | LWk:13% | UWk:13% | LO:15.6 | NYO:15.6 | Sq:2 | ATRr:0.94 | HTFd:16.0 | DH:11.3 | DL:24.3 | PRv:-1 | TG:0.1
06-03 Wed Hr:08 | SHT | W | VW:-4.0 | Vx:0.5 | PB:1.6 | Prc:4.5 | RN:2.0 | ADX:20 | EG:6.3 | hRSI:50 | ATR:3.7 | B:10 | SL:6.6 | SVR:5.1 | MAE:2.9 | MFE:11.0 | AH:-11.9 | AL:-15.1 | LWk:26% | UWk:29% | LO:-12.7 | NYO:-12.7 | Sq:3 | ATRr:1.24 | HTFd:7.4 | DH:19.7 | DL:15.1 | PRv:-1 | TG:1.7
06-03 Wed Hr:10 | SHT | W | VW:-6.3 | Vx:0.8 | PB:3.8 | Prc:5.3 | RN:2.3 | ADX:14 | EG:8.8 | hRSI:51 | ATR:3.6 | B:45 | SL:8.2 | SVR:3.8 | MAE:8.1 | MFE:14.7 | AH:-16.2 | AL:-10.8 | LWk:34% | UWk:26% | LO:-17.0 | NYO:-17.0 | Sq:4 | ATRr:1.05 | HTFd:10.7 | DH:24.0 | DL:10.8 | PRv:1 | TG:1.0
06-08 Mon Hr:07 | SHT | W | VW:-6.3 | Vx:1.4 | PB:4.4 | Prc:3.3 | RN:22.4 | ADX:22 | EG:53.1 | hRSI:52 | ATR:4.2 | B:30 | SL:10.8 | SVR:5.7 | MAE:8.1 | MFE:17.3 | AH:-21.3 | AL:-7.6 | LWk:2% | UWk:5% | LO:10.4 | NYO:10.4 | Sq:4 | ATRr:1.12 | HTFd:59.6 | DH:22.6 | DL:15.4 | PRv:1 | TG:0.4
06-10 Wed Hr:07 | LNG | L | VW:9.4 | Vx:0.8 | PB:1.7 | Prc:1.8 | RN:9.3 | ADX:14 | EG:13.3 | hRSI:54 | ATR:3.0 | B:5 | SL:5.5 | SVR:3.6 | MAE:6.6 | MFE:0.9 | AH:-6.4 | AL:-11.0 | LWk:24% | UWk:26% | LO:12.2 | NYO:12.2 | Sq:3 | ATRr:1.10 | HTFd:15.1 | DH:6.4 | DL:28.3 | PRv:1 | TG:0.2
06-10 Wed Hr:09 | LNG | L | VW:8.2 | Vx:1.3 | PB:1.3 | Prc:3.9 | RN:9.4 | ADX:24 | EG:11.1 | hRSI:51 | ATR:3.2 | B:31 | SL:8.1 | SVR:3.7 | MAE:13.2 | MFE:9.1 | AH:-6.5 | AL:-10.9 | LWk:2% | UWk:17% | LO:12.1 | NYO:12.1 | Sq:4 | ATRr:1.00 | HTFd:14.2 | DH:6.5 | DL:28.2 | PRv:-1 | TG:1.2
06-10 Wed Hr:12 | LNG | W | VW:6.3 | Vx:0.6 | PB:2.0 | Prc:4.9 | RN:9.7 | ADX:25 | EG:9.0 | hRSI:46 | ATR:3.7 | B:6 | SL:9.5 | SVR:3.6 | MAE:4.8 | MFE:16.1 | AH:-6.8 | AL:-10.6 | LWk:0% | UWk:4% | LO:11.8 | NYO:11.8 | Sq:2 | ATRr:1.06 | HTFd:12.6 | DH:9.4 | DL:27.9 | PRv:-1 | TG:1.8
06-11 Thu Hr:08 | SHT | W | VW:1.9 | Vx:1.0 | PB:3.0 | Prc:1.6 | RN:24.8 | ADX:22 | EG:2.7 | hRSI:48 | ATR:3.0 | B:13 | SL:9.1 | SVR:5.6 | MAE:3.3 | MFE:14.2 | AH:-11.5 | AL:-0.1 | LWk:8% | UWk:0% | LO:7.3 | NYO:7.3 | Sq:3 | ATRr:1.24 | HTFd:3.8 | DH:16.3 | DL:25.6 | PRv:1 | TG:1.7
06-11 Thu Hr:12 | SHT | W | VW:-9.6 | Vx:1.1 | PB:1.4 | Prc:3.0 | RN:11.5 | ADX:15 | EG:13.2 | hRSI:46 | ATR:2.7 | B:4 | SL:6.1 | SVR:2.1 | MAE:4.0 | MFE:18.3 | AH:-25.2 | AL:13.6 | LWk:29% | UWk:4% | LO:-6.4 | NYO:-6.4 | Sq:1 | ATRr:1.02 | HTFd:15.2 | DH:30.0 | DL:11.9 | PRv:1 | TG:0.3
06-11 Thu Hr:13 | SHT | W | VW:-14.6 | Vx:1.2 | PB:5.2 | Prc:3.3 | RN:4.2 | ADX:18 | EG:16.7 | hRSI:46 | ATR:5.9 | B:5 | SL:9.4 | SVR:4.8 | MAE:5.4 | MFE:15.0 | AH:-32.5 | AL:20.9 | LWk:13% | UWk:21% | LO:-13.7 | NYO:-13.7 | Sq:3 | ATRr:1.71 | HTFd:21.7 | DH:37.3 | DL:13.9 | PRv:1 | TG:2.3
06-11 Thu Hr:13 | SHT | W | VW:-13.2 | Vx:0.7 | PB:4.3 | Prc:3.3 | RN:3.2 | ADX:17 | EG:19.6 | hRSI:41 | ATR:5.9 | B:3 | SL:6.7 | SVR:3.4 | MAE:3.8 | MFE:12.0 | AH:-33.5 | AL:21.9 | LWk:10% | UWk:31% | LO:-14.7 | NYO:-14.7 | Sq:2 | ATRr:1.25 | HTFd:22.0 | DH:38.3 | DL:14.0 | PRv:1 | TG:1.6
06-12 Fri Hr:08 | LNG | W | VW:3.5 | Vx:1.4 | PB:3.3 | Prc:1.5 | RN:8.6 | ADX:26 | EG:13.1 | hRSI:48 | ATR:4.8 | B:25 | SL:11.3 | SVR:5.6 | MAE:10.1 | MFE:17.2 | AH:-9.3 | AL:-14.1 | LWk:23% | UWk:0% | LO:-7.2 | NYO:-7.2 | Sq:2 | ATRr:1.34 | HTFd:21.9 | DH:17.5 | DL:25.3 | PRv:1 | TG:0.5
06-12 Fri Hr:10 | LNG | L | VW:9.8 | Vx:1.6 | PB:3.5 | Prc:8.9 | RN:17.5 | ADX:25 | EG:24.4 | hRSI:50 | ATR:4.3 | B:32 | SL:13.8 | SVR:3.7 | MAE:15.2 | MFE:1.0 | AH:-0.4 | AL:-23.0 | LWk:10% | UWk:0% | LO:1.7 | NYO:1.7 | Sq:2 | ATRr:0.98 | HTFd:28.3 | DH:8.6 | DL:34.2 | PRv:1 | TG:1.5
06-15 Mon Hr:14 | LNG | L | VW:0.5 | Vx:1.1 | PB:3.2 | Prc:1.8 | RN:12.4 | ADX:16 | EG:15.9 | hRSI:52 | ATR:3.4 | B:16 | SL:8.0 | SVR:3.0 | MAE:8.5 | MFE:6.9 | AH:-22.3 | AL:-2.7 | LWk:6% | UWk:6% | LO:43.4 | NYO:43.4 | Sq:2 | ATRr:1.09 | HTFd:21.0 | DH:23.2 | DL:43.4 | PRv:-1 | TG:1.7
06-16 Tue Hr:14 | LNG | W | VW:4.4 | Vx:1.2 | PB:4.0 | Prc:4.7 | RN:15.2 | ADX:14 | EG:1.3 | hRSI:49 | ATR:3.6 | B:4 | SL:8.1 | SVR:2.8 | MAE:3.5 | MFE:12.6 | AH:8.9 | AL:-24.7 | LWk:20% | UWk:20% | LO:2.8 | NYO:2.8 | Sq:4 | ATRr:1.15 | HTFd:1.1 | DH:16.2 | DL:24.7 | PRv:-1 | TG:1.3
06-18 Thu Hr:07 | SHT | W | VW:-1.3 | Vx:1.7 | PB:2.6 | Prc:2.8 | RN:9.1 | ADX:23 | EG:57.4 | hRSI:49 | ATR:3.9 | B:8 | SL:8.9 | SVR:5.1 | MAE:7.6 | MFE:14.6 | AH:-15.6 | AL:-10.9 | LWk:10% | UWk:50% | LO:20.6 | NYO:20.6 | Sq:6 | ATRr:1.57 | HTFd:62.5 | DH:15.6 | DL:31.9 | PRv:1 | TG:1.4
06-22 Mon Hr:07 | SHT | W | VW:-8.0 | Vx:1.0 | PB:4.0 | Prc:7.0 | RN:6.6 | ADX:19 | EG:27.9 | hRSI:52 | ATR:3.9 | B:15 | SL:12.7 | SVR:3.8 | MAE:4.4 | MFE:21.5 | AH:-14.1 | AL:-5.6 | LWk:6% | UWk:2% | LO:20.6 | NYO:20.6 | Sq:3 | ATRr:1.41 | HTFd:32.6 | DH:27.0 | DL:23.3 | PRv:1 | TG:0.6
06-23 Tue Hr:07 | LNG | L | VW:3.0 | Vx:1.3 | PB:5.4 | Prc:7.5 | RN:5.8 | ADX:19 | EG:2.6 | hRSI:41 | ATR:4.2 | B:12 | SL:14.4 | SVR:4.2 | MAE:17.9 | MFE:5.3 | AH:-5.4 | AL:-15.5 | LWk:15% | UWk:0% | LO:-3.9 | NYO:-3.9 | Sq:2 | ATRr:1.58 | HTFd:3.4 | DH:7.9 | DL:15.5 | PRv:1 | TG:1.5
06-23 Tue Hr:10 | SHT | W | VW:-12.4 | Vx:0.9 | PB:4.4 | Prc:5.4 | RN:23.7 | ADX:18 | EG:13.3 | hRSI:48 | ATR:3.5 | B:15 | SL:8.8 | SVR:4.8 | MAE:3.8 | MFE:13.5 | AH:-25.9 | AL:5.0 | LWk:5% | UWk:13% | LO:-24.4 | NYO:-24.4 | Sq:2 | ATRr:0.84 | HTFd:15.6 | DH:28.4 | DL:11.2 | PRv:-1 | TG:0.0
06-23 Tue Hr:11 | SHT | W | VW:-13.8 | Vx:0.6 | PB:4.8 | Prc:4.0 | RN:20.5 | ADX:14 | EG:15.9 | hRSI:45 | ATR:3.8 | B:10 | SL:7.0 | SVR:3.5 | MAE:2.0 | MFE:11.6 | AH:-29.1 | AL:8.2 | LWk:47% | UWk:0% | LO:-27.6 | NYO:-27.6 | Sq:2 | ATRr:1.06 | HTFd:17.9 | DH:31.6 | DL:10.3 | PRv:1 | TG:0.6
